nn,epoch,step,loss
Net1,18,400,0.2941
Net1,18,500,0.3791
Net1,18,600,0.2336
Net1,19,100,0.442
Net1,19,200,0.3649
Net1,19,300,0.2998
Net1,19,400,0.3396
Net1,19,500,0.2702
Net1,19,600,0.4277
Net1,20,100,0.2449
Net1,20,200,0.2895
Net1,20,300,0.3467
Net1,20,400,0.6221
Net1,20,500,0.3584
Net1,20,600,0.3499
